Start measure
41 0D 1C 
41 0D 1B 
41 0D 18 
41 0D 16 
41 0D 11 
41 0D 10 
41 0D 0F 
41 0D 0D 
41 0D 0C 
41 0D 0B 
41 0D 0B 
41 0D 0B 
41 0D 0B 
41 0D 0A 
41 0D 0A 
41 0D 09 
41 0D 09 
41 0D 08 
41 0D 08 
41 0D 07 
41 0D 07 
41 0D 06 
41 0D 06 
41 0D 06 
41 0D 06 
41 0D 06 
41 0D 05 
41 0D 05 
41 0D 05 
41 0D 04 
41 0D 04 
41 0D 04 
41 0D 05 
41 0D 04 
41 0D 04 
41 0D 04 
41 0D 04 
41 0D 03 
41 0D 03 
41 0D 03 
41 0D 02 
41 0D 01 
41 0D 01 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
41 0D 00 
Finish measure
