Start measure
851,946
549,909
203,589
226,662
198,609
277,808
370,325
247,55
220,166
319,884
246,978
271,521
309,927
247,69
471,386
231,847
362,064
245,043
244,174
230,093
124,272
320,358
168,681
123,33
183,992
164,007
180,268
136,484
143,704
252,399
170,072
181,53
152,79
206,395
181,992
158,699
190,815
169,627
195,963
192,176
249,323
659,565
165,063
148,837
187,752
153,67
153,221
128,888
160,91
449,608
366,011
239,129
247,843
233,659
287,308
443,387
228,93
524,673
380,577
285,291
252,257
184,698
354,636
306,882
265,787
154,967
138,277
195,616
157,73
177,303
197,377
157,143
210,539
281,294
149,171
179,344
146,302
133,611
164,677
219,876
181,543
187,103
265,903
623,564
163,621
137,621
202,915
175,143
174,869
177,061
139,015
139,731
195,85
300,916
295,497
222,648
273,743
211,089
200,735
273,215
316,637
289,737
350,67
278,204
221,549
277,523
187,962
288,705
205,098
300,881
162,351
198,215
146,656
169,753
167,39
148,417
211,11
160,042
152,952
178,823
154,694
171,137
140,957
163,55
227,548
190,998
170,757
197,702
140,873
607,838
166,683
176,791
141,612
185,658
135,028
171,386
181,315
170,617
155,145
171,692
245,339
176,412
176,973
224,791
296,674
184,295
293,59
245,586
302,635
322,334
209,63
250,097
368,394
385,597
341,464
294,146
308,149
228,255
217,623
207,736
173,157
187,281
212,067
193,527
188,914
163,505
128,751
170,797
199,646
156,638
184,931
207,945
222,481
318,297
488,778
179,022
184,03
153,498
151,957
200,592
160,842
207,411
193,148
149,765
229,821
189,838
347,411
355,938
258,102
175,263
356,032
303,556
187,544
415,975
341,663
180,242
261,359
225,807
423,71
360,986
233,633
250,55
235,616
177,216
157,039
164,395
156,22
215,124
223,171
184,119
158,289
147,266
137,413
142,192
161,165
192,532
250,824
514,865
270,773
146,901
209,377
209,415
219,576
174,029
224,124
164,837
186,09
214,16
316,503
239,399
310,026
248,348
404,35
436,6
185,418
371,083
389,326
259,806
230,672
463,578
298,337
338,083
472,317
135,927
295,036
108,266
167,977
192,173
211,463
138,505
253,794
275,944
145,284
232,88
138,971
496,134
254,717
330,715
182,305
161,201
173,465
458,623
576,265
257,72
189,581
176,647
249,544
307,439
440,473
255,921
640,242
217,181
235,066
169,573
241,281
262,32
394,412
239,848
318,972
537,085
310,939
172,568
142,526
195,322
201,309
189,838
142,633
205,571
214,117
149,713
152,723
134,567
562,271
198,553
173,007
236,592
195,864
278,22
298,596
176,759
216,587
190,178
216,007
214,527
188,622
408,791
277,065
359,581
299,102
303,247
352,459
312,374
312,156
318,683
509,655
359,924
294,526
532,593
317,08
208,289
190,407
210,859
143,851
230,982
253,433
208,512
218,448
194,835
311,884
448,04
167,15
153,809
178,469
161,394
279,09
174,729
183,452
176,285
218,276
211,054
239,793
164,438
171,255
219,356
313,305
496,333
278,19
297,485
228,045
535,361
227,359
253,554
147,154
288,148
285,385
260,392
294,439
280,485
243,748
237,662
404,216
158,706
228,291
200,147
368,67
179,735
133,768
179,62
425,192
364,219
170,948
207,412
184,721
139,659
204,908
249,511
241,284
248,428
283,924
149,406
245,089
173,487
187,886
141,679
162,688
137,469
307,162
298,325
228,967
240,122
186,916
579,218
316,785
306,138
350,226
350,605
310,743
309,626
515,266
284,282
